Line_no:1:	https://rfam.org/family/RF00005#tabview=tab6
7OID	z	tRNA
7P48	5	tRNA
7U2J	1x	tRNA
4TZZ	E	tRNA
4V5P	CY	tRNA
4V66	AA	tRNA
4WRA	3L	tRNA
4YZV	QV	tRNA
5VP2	1x	tRNA
6BUW	XV	tRNA
6GSJ	1L	tRNA
6ND6	1x	tRNA
6SV4	mb	tRNA
6VZJ	B	tRNA
6X7F	B	tRNA
7Q4K	D2	tRNA
7TOO	APTN	tRNA
2RD2	B	tRNA
3JAN	3	tRNA
4RDX	C	tRNA
4V8X	AV	tRNA
4V9Q	BW	tRNA
5HR6	D	tRNA
5NDK	X4	tRNA
5UYK	X	tRNA
6GZ3	Bw	tRNA
6OTR	XW	tRNA
6QNQ	2L	tRNA
6WDH	5	tRNA
4V5J	CW	tRNA
4V6F	BB	tRNA
4V74	A1	tRNA
4V8F	BC	tRNA
5JBH	4	tRNA
6OJ2	XW	tRNA
6OPE	XY	tRNA
6QDW	v	tRNA
6QNQ	2K	tRNA
6QNR	1L	tRNA
6WDD	5	tRNA
7PHA	6	tRNA
7SYV	i	tRNA
7UNV	v	tRNA
4V5H	AV	tRNA
4V8J	AY	tRNA
4V9S	CX	tRNA
4W2H	CX	tRNA
5CZP	QV	tRNA
5J4B	1x	tRNA
5WE4	y	tRNA
6OTR	QV	tRNA
6Q97	7	tRNA
6V39	v	tRNA
6YBV	w	tRNA
7CPU	S6	tRNA
7N1P	Pt	tRNA
7NHM	D	tRNA
4LFZ	XV	tRNA
4V8B	CC	tRNA
5UYL	W	tRNA
6CAE	1x	tRNA
6OLE	v	tRNA
6ORD	XV	tRNA
6ORE	5	tRNA
6ZTJ	AX	tRNA
7CHD	J	tRNA
1VY4	CY	tRNA
3J9Z	S6	tRNA
4UJE	AV	tRNA
4V4Z	AC	tRNA
4V7M	AW	tRNA
4WC5	B	tRNA
5VPP	XV	tRNA
6BOK	IA	tRNA
6QNQ	3K	tRNA
6TC3	PTR1	tRNA
6WDI	6	tRNA
7MRL	A	tRNA
7OIF	z	tRNA
7PIO	7	tRNA
3CW6	A	tRNA
3JBO	7	tRNA
3JBP	7	tRNA
4V6P	AD	tRNA
4V79	A3	tRNA
4V8E	DC	tRNA
4WQU	DW	tRNA
5MRE	bb	tRNA
5ONH	B	tRNA
5UYQ	X	tRNA
6BZ7	QV	tRNA
6HA8	x	tRNA
6WDB	5	tRNA
6X9Q	A	tRNA
6XZA	f2	tRNA
7N31	Pt	tRNA
7S1I	A	tRNA
7U2H	1y	tRNA
7ZHG	4	tRNA
1ASZ	S	tRNA
1QTQ	B	tRNA
1VY5	CX	tRNA
1VY6	AX	tRNA
3EPK	E	tRNA
3FOZ	C	tRNA
4JYZ	B	tRNA
4WPO	BY	tRNA
5IMR	5	tRNA
5J3C	XV	tRNA
6BZ8	QV	tRNA
6GSL	2K	tRNA
6GSN	1	tRNA
6VWN	5	tRNA
6YEF	x	tRNA
6YWY	bb	tRNA
7ABZ	7	tRNA
7MSH	y	tRNA
7S1G	A	tRNA
1GAX	C	tRNA
4V5C	CY	tRNA
4V5E	AV	tRNA
5EL5	1K	tRNA
5WE6	y	tRNA
5WF0	w	tRNA
6R84	B	tRNA
6WNW	5	tRNA
7NWI	2	tRNA
7OIZ	V	tRNA
7U2I	2x	tRNA
7U2J	2x	tRNA
1ASY	R	tRNA
3BBV	z	tRNA
4V5R	AY	tRNA
4V5R	CW	tRNA
4V6V	A3	tRNA
4YVK	C	tRNA
5CD1	M	tRNA
5EL5	3K	tRNA
5LZT	3	tRNA
5LZY	2	tRNA
5U9F	X	tRNA
5U9G	W	tRNA
5WFK	v	tRNA
6BY1	AV	tRNA
6O97	1w	tRNA
7PHB	7	tRNA
4V6K	BE	tRNA
4V9K	AW	tRNA
5UYM	W	tRNA
6VYT	A	tRNA
6XHV	1w	tRNA
7SYR	i	tRNA
1GTR	B	tRNA
2CV2	C	tRNA
4V65	AP	tRNA
4V68	AY	tRNA
4WT1	1K	tRNA
5HCP	1x	tRNA
5L4O	A	tRNA
6BZ7	QW	tRNA
6GXO	x	tRNA
6NWY	XV	tRNA
6TNU	n	tRNA
7KJU	A	tRNA
7P7S	D	tRNA
7PAS	8	tRNA
7PIR	6	tRNA
1FCW	B	tRNA
3EPJ	E	tRNA
3J81	1	tRNA
4V6N	BD	tRNA
5V6X	C	tRNA
6BZ7	XV	tRNA
6HCJ	q3	tRNA
6K0B	V	tRNA
6NWY	QV	tRNA
6QNR	3K	tRNA
7A5F	24	tRNA
7SYS	i	tRNA
7ZW0	sn	tRNA
1N78	C	tRNA
3WQY	C	tRNA
3ZJV	B	tRNA
4LCK	B	tRNA
4V8B	AB	tRNA
4WSD	3K	tRNA
6H58	w	tRNA
6OFX	5	tRNA
6R7Q	3	tRNA
6UO1	1w	tRNA
6VZ2	A	tRNA
6WDE	5	tRNA
7AZO	ESIA	tRNA
7MSC	y	tRNA
7N31	Dt	tRNA
7OJ0	V	tRNA
2Z9Q	A	tRNA
4V5D	CV	tRNA
4V9M	AW	tRNA
4WT8	C4	tRNA
4WZD	2L	tRNA
5KPS	32	tRNA
6OF1	1y	tRNA
6SW9	4	tRNA
6YDP	BA	tRNA
6YDP	BA	tRNA
6YDP	BA	tRNA
6YDP	BA	tRNA
6YDP	BA	tRNA
6YDP	BA	tRNA
1F7U	B	tRNA
1G59	D	tRNA
1SZ1	F	tRNA
2DU3	D	tRNA
3EQ3	Y	tRNA
4V5F	CV	tRNA
4V8U	AV	tRNA
6OSI	QV	tRNA
6OTR	XV	tRNA
6WD5	6	tRNA
7NHL	D	tRNA
7PHC	6	tRNA
7QGU	z	tRNA
7RQ8	2w	tRNA
7UNW	v	tRNA
1ZJW	B	tRNA
3ZGZ	B	tRNA
4V65	AA	tRNA
4V7K	Av	tRNA
4V90	AV	tRNA
5EL4	2L	tRNA
5IQR	5	tRNA
5JU8	AX	tRNA
5LZS	ii	tRNA
5ZEB	v	tRNA
6SGC	33	tRNA
6VYR	B	tRNA
6ZMO	CC	tRNA
7PJW	v	tRNA
7U2J	2w	tRNA
1H4Q	T	tRNA
1JGQ	B	tRNA
2CV1	C	tRNA
2K4C	A	tRNA
3J7A	7	tRNA
4V76	A1	tRNA
4V8D	CB	tRNA
5AFI	w	tRNA
5AFI	y	tRNA
5IB8	1L	tRNA
5IBB	1L	tRNA
6C5L	AV	tRNA
6GSL	3K	tRNA
6UCQ	1y	tRNA
6WD4	5	tRNA
6XIR	AZ	tRNA
7PJY	v	tRNA
1IL2	D	tRNA
2DEU	D	tRNA
2TRA	A	tRNA
3B0V	A	tRNA
3EPH	E	tRNA
4V9M	CW	tRNA
4WU1	2K	tRNA
5DOY	2w	tRNA
5WFS	v	tRNA
6BOH	IB	tRNA
6BU8	Y	tRNA
6CFJ	2x	tRNA
6GSJ	3L	tRNA
6HCQ	33	tRNA
6VYQ	B	tRNA
6WDA	7	tRNA
7A5K	FE	tRNA
7AQC	T	tRNA
7JQL	2x	tRNA
7JSS	5	tRNA
7LJ3	B	tRNA
7LYG	A	tRNA
7TM3	q	tRNA
2DET	C	tRNA
3JA1	S2	tRNA
3KFU	L	tRNA
3WFQ	D	tRNA
4V5S	AY	tRNA
4V6Q	AD	tRNA
4V8Q	BV	tRNA
4V8U	CV	tRNA
5HC9	D	tRNA
6WDA	5	tRNA
6Y2L	B4	tRNA
7PIR	8	tRNA
7TOP	APTN	tRNA
1EHZ	A	tRNA
1F7V	B	tRNA
1TRA	A	tRNA
1ZO1	F	tRNA
3JBV	W	tRNA
3ZJT	B	tRNA
4LEL	QV	tRNA
4V67	AY	tRNA
4V87	CB	tRNA
4YPB	QV	tRNA
6HCJ	33	tRNA
6VZ2	B	tRNA
6XIQ	AZ	tRNA
6YDW	BA	tRNA
6YDW	BA	tRNA
6YDW	BA	tRNA
6YDW	BA	tRNA
6YDW	BA	tRNA
6YDW	BA	tRNA
7JQL	1x	tRNA
3JAI	2	tRNA
3WFQ	A	tRNA
4V5G	CW	tRNA
4V8N	CY	tRNA
4WSD	1L	tRNA
5AFI	v	tRNA
5ON3	B	tRNA
5WIT	1x	tRNA
6FYY	1	tRNA
6ORL	5	tRNA
6PMO	B	tRNA
6VYS	B	tRNA
6W6L	v	tRNA
6Y57	D4	tRNA
6ZTM	AX	tRNA
7B5K	x	tRNA
7QH4	y	tRNA
7QI4	Ay	tRNA
8CVK	2x	tRNA
4V8B	AD	tRNA
4V8C	CD	tRNA
4V8E	BB	tRNA
5LZX	3	tRNA
5V6X	D	tRNA
6BZ7	XW	tRNA
6GSJ	2L	tRNA
6ND6	1y	tRNA
7NRD	Sn	tRNA
7SSD	6	tRNA
8EKC	x	tRNA
1FCW	D	tRNA
4V6X	BC	tRNA
4V8B	AC	tRNA
5DOY	1w	tRNA
5WIS	1x	tRNA
6CAE	2x	tRNA
6OXA	XV	tRNA
6T7I	6	tRNA
6WDC	6	tRNA
7LS2	n2	tRNA
7NSP	v	tRNA
7PAH	7	tRNA
7PAL	7	tRNA
7SSL	6	tRNA
1VFG	D	tRNA
2AKE	B	tRNA
4V6F	BD	tRNA
4V79	A1	tRNA
4WZD	2K	tRNA
4YCO	E	tRNA
5EL7	3L	tRNA
5U9F	W	tRNA
5VP2	2x	tRNA
5WIT	1y	tRNA
6UFG	B	tRNA
6UFM	A	tRNA
7R81	t1	tRNA
1B23	R	tRNA
1OB5	D	tRNA
1VY5	CW	tRNA
3JBN	7	tRNA
4V8U	CW	tRNA
4W2F	AW	tRNA
4W2F	CX	tRNA
5IBB	3L	tRNA
6X6T	B	tRNA
6YDP	AA	tRNA
6YDP	AA	tRNA
6YDP	AA	tRNA
6YDP	AA	tRNA
6YDP	AA	tRNA
6YDP	AA	tRNA
6YWE	bb	tRNA
6ZU1	AX	tRNA
7ST6	7	tRNA
3ZGZ	E	tRNA
4GCW	B	tRNA
4V4V	AW	tRNA
4V5E	CV	tRNA
4V63	AZ	tRNA
4V97	AY	tRNA
4V9Q	BV	tRNA
4WQR	1K	tRNA
6BOH	NC	tRNA
6HCF	23	tRNA
6WD6	5	tRNA
7QV2	H	tRNA
1EUY	B	tRNA
1JGP	C	tRNA
1TTT	F	tRNA
4TUD	QV	tRNA
4UY8	V	tRNA
4V4Y	AD	tRNA
4V5G	AV	tRNA
4V8J	AV	tRNA
4V9L	AW	tRNA
4WZD	3K	tRNA
5IB8	1K	tRNA
5UYL	Y	tRNA
6GSJ	3K	tRNA
6NDK	QV	tRNA
6OG7	5	tRNA
6OJ2	QY	tRNA
6OKK	g	tRNA
6QNR	2K	tRNA
6SV4	nb	tRNA
6VYS	A	tRNA
6WD3	6	tRNA
6ZU1	AW	tRNA
7PAN	7	tRNA
7SA4	6	tRNA
1FCW	A	tRNA
1FFY	T	tRNA
3AKZ	F	tRNA
3AMT	B	tRNA
4MGN	D	tRNA
4V9B	CC	tRNA
4WQU	BY	tRNA
5L3P	y	tRNA
5LZE	v	tRNA
6WDI	7	tRNA
6XHV	2y	tRNA
6ZVI	d	tRNA
7PIA	8	tRNA
7RR5	P	tRNA
7UCJ	2	tRNA
1J1U	B	tRNA
3J0O	W	tRNA
3KFU	K	tRNA
4V5F	AW	tRNA
4V8J	AW	tRNA
5J4D	D	tRNA
5LZZ	2	tRNA
5OMW	E	tRNA
5WIS	2w	tRNA
5WIT	1w	tRNA
6MTB	2	tRNA
6NUO	XV	tRNA
6Q9A	7	tRNA
7AS8	2	tRNA
7K55	6	tRNA
7TOR	PTRN	tRNA
8CVL	1y	tRNA
3AKZ	G	tRNA
4V5J	AW	tRNA
4V87	CC	tRNA
4WQR	3L	tRNA
5J4B	1y	tRNA
5KCR	1x	tRNA
6X9Q	B	tRNA
6Z6M	CC	tRNA
7AZO	ASIA	tRNA
7K53	7	tRNA
7NBU	V	tRNA
7O1A	B8	tRNA
7QGR	u	tRNA
7RQ9	2w	tRNA
1ZO3	B	tRNA
3J78	ET	tRNA
6SWC	4	tRNA
6ZJ3	S4	tRNA
1QU2	T	tRNA
4L71	QV	tRNA
4LCK	E	tRNA
4TUB	QV	tRNA
4V6I	CB	tRNA
4V8J	CY	tRNA
4YPB	QW	tRNA
5IQR	4	tRNA
5J30	QV	tRNA
5VP2	2w	tRNA
5WIS	1w	tRNA
5WWT	D	tRNA
6I7O	nb	tRNA
6OXI	QV	tRNA
6VYU	B	tRNA
7MT3	y	tRNA
7UCK	2	tRNA
1QZA	B	tRNA
4V9C	AV	tRNA
4V9I	CV	tRNA
4WQ1	2K	tRNA
5DFE	XV	tRNA
5MRF	bb	tRNA
5WE6	v	tRNA
5WWS	C	tRNA
6XHY	1w	tRNA
7AZO	ASIB	tRNA
7JQM	1x	tRNA
7N2V	Pt	tRNA
7QGG	v	tRNA
7ZAH	4	tRNA
1JGQ	D	tRNA
3JCE	6	tRNA
3WFQ	C	tRNA
4V5C	AV	tRNA
4V5E	AW	tRNA
4W29	AX	tRNA
4X0A	B	tRNA
4YCO	D	tRNA
6GXM	x	tRNA
6MTB	4	tRNA
6O8W	u	tRNA
6OF1	2y	tRNA
6WDE	6	tRNA
6X7F	A	tRNA
6ZVH	x	tRNA
7KAB	C	tRNA
7PI8	7	tRNA
4UJE	AW	tRNA
4Z8C	1x	tRNA
5AH5	D	tRNA
5OT7	2	tRNA
6T4Q	6	tRNA
7MSZ	y	tRNA
7PZY	10	tRNA
7QVP	B5	tRNA
7RQ8	1y	tRNA
4V49	AV	tRNA
4Z8C	2x	tRNA
5EL5	1L	tRNA
5LZZ	3	tRNA
6WDM	5	tRNA
6ZM6	w	tRNA
7A5G	j	tRNA
7B7D	Sm	tRNA
7NSI	BB	tRNA
3J0P	W	tRNA
3JCD	8	tRNA
4V5S	CV	tRNA
4WSD	1K	tRNA
4WSM	1K	tRNA
4Y4P	2w	tRNA
5D8B	XC	tRNA
6TB3	n	tRNA
6VZ5	A	tRNA
6YHS	8	tRNA
7D80	y	tRNA
7N2V	Dt	tRNA
7NWG	q3	tRNA
7PAO	6	tRNA
7PIB	8	tRNA
7QP6	w	tRNA
7QVP	D5	tRNA
8CVL	2y	tRNA
1VVJ	QV	tRNA
1VY6	CX	tRNA
3JAI	3	tRNA
4TZZ	H	tRNA
4V6O	AB	tRNA
6IP6	zy	tRNA
6POM	B	tRNA
6VZJ	A	tRNA
6XZB	f2	tRNA
7K52	5	tRNA
8CVL	2x	tRNA
4V49	AW	tRNA
4V5M	AV	tRNA
4V97	AV	tRNA
4YVI	C	tRNA
5UYN	Y	tRNA
6B4V	D	tRNA
6VU3	A	tRNA
6ZVI	e	tRNA
7CPV	S6	tRNA
7NQH	BB	tRNA
7PAN	8	tRNA
7U2H	2x	tRNA
8CVL	2w	tRNA
1EFW	D	tRNA
1N78	D	tRNA
2NQP	F	tRNA
4CQN	B	tRNA
4V5K	CV	tRNA
4V5N	AV	tRNA
4V69	AW	tRNA
4WT8	D4	tRNA
5DOY	1x	tRNA
5KPW	31	tRNA
5UYN	X	tRNA
5UYP	X	tRNA
5WFS	w	tRNA
6FYX	1	tRNA
6ND5	2w	tRNA
6WD5	5	tRNA
6XHW	2y	tRNA
6ZM6	x	tRNA
7JT1	5	tRNA
7N30	Dt	tRNA
7N30	Pt	tRNA
7UZ0	A	tRNA
1VY5	AY	tRNA
3J0Q	Y	tRNA
4P6F	XW	tRNA
4V5P	CV	tRNA
4V6T	AX	tRNA
4W2E	x	tRNA
4W2G	CW	tRNA
5T7V	D	tRNA
6GSJ	2K	tRNA
6GSL	1K	tRNA
6ORD	XY	tRNA
6WD0	6	tRNA
7U2I	2y	tRNA
7VNW	B	tRNA
3EPK	F	tRNA
4CXG	Y	tRNA
4V67	CZ	tRNA
4WQF	DY	tRNA
4WQR	2K	tRNA
4WR6	1K	tRNA
5UD5	C	tRNA
6Q8Y	m	tRNA
2RE8	B	tRNA
4TUC	XV	tRNA
4TUE	QV	tRNA
4V5R	CY	tRNA
4V8N	AV	tRNA
4V9A	CC	tRNA
4WSD	2L	tRNA
5HCQ	2x	tRNA
5IB7	2K	tRNA
5WFK	w	tRNA
6BZ6	XV	tRNA
6CAE	1w	tRNA
6GSK	2L	tRNA
6OSQ	5	tRNA
6VYR	A	tRNA
6VZ7	A	tRNA
6WD2	7	tRNA
6XZ7	g	tRNA
7A09	f	tRNA
7LJ3	C	tRNA
7NHK	D	tRNA
7O81	AJ	tRNA
7QG8	M	tRNA
7ST2	5	tRNA
1JGO	D	tRNA
3KFU	N	tRNA
4LSK	XV	tRNA
4V51	CV	tRNA
4V6F	CB	tRNA
4V9J	CW	tRNA
4WT1	2K	tRNA
5CD1	N	tRNA
5JB3	4	tRNA
5NDJ	V4	tRNA
5ZEU	v	tRNA
6OF1	1x	tRNA
6SV4	mc	tRNA
6YST	w	tRNA
7JT3	5	tRNA
1QRT	B	tRNA
4V66	AE	tRNA
4V77	A3	tRNA
4V7J	Bw	tRNA
4W29	CX	tRNA
4Z3S	1y	tRNA
